1,阿富汗                      ,1,"Afghanistan"
2,阿尔巴尼亚                    ,1,"Albania"
3,安道尔                      ,1,"Andorra"
4,安哥拉                      ,2,"Angola"
8,阿根廷                      ,4,"Argentina"
11,澳大利亚                     ,6,"Australia"
12,奥地利                      ,5,"Austria"
13,阿塞拜疆                     ,1,"Azerbaijan"
14,阿联酋                      ,1,"United Arab Emirates"
15,巴哈马                      ,3,"Bahamas"
16,巴林                       ,1,"Bahrain"
17,孟加拉                      ,1,"Bangladesh"
21,比利时                      ,5,"Belgium"
22,贝宁                       ,2,"Benin"
23,百慕大                      ,3,"Bermuda"
24,不丹                       ,1,"Bhutan"
25,玻利维亚                     ,4,"Bolivia"
27,博茨瓦纳                     ,2,"Botswana"
29,巴西                       ,4,"Brazil"
30,文莱                       ,1,"Brunei Darussalam"
31,保加利亚                     ,5,"Bulgaria"
33,布隆迪                      ,2,"Burundi"
35,喀麦隆                      ,2,"Cameroon"
36,加拿大                      ,3,"Canada"
37,佛得角                      ,2,"Cape Verde Republic of"
38,中非共和国                    ,2,"The Central African Republic"
39,智利                       ,4,"Chile"
40,中国                       ,1,"China"
43,哥伦比亚                     ,4,"Colombia"
44,瑞士                       ,5,"Switzerland"
45,刚果                       ,2,"Congo"
46,库克群岛                     ,6,"Cook Island"
47,哥斯达黎加                    ,3,"Costa rica"
49,古巴                       ,3,"Cuba"
50,塞浦路斯                     ,1,"Cyprus"
51,捷克共和国                    ,5,"Czech Republic"
52,丹麦                       ,5,"Denmark"
55,德国                       ,5,"Grmany"
57,阿尔及利亚                    ,2,"Algeria"
58,厄瓜多尔                     ,4,"Ecuador"
59,埃及                       ,2,"Egypt"
61,西班牙                      ,5,"Spain"
62,爱沙尼亚                     ,5,"Estonia"
63,埃塞俄比亚                    ,2,"Ethiopia"
64,斐济                       ,6,"Fiji"
66,芬兰                       ,5,"Finland"
67,法国                       ,5,"France"
69,加蓬                       ,2,"Gabon"
70,赤道几内亚                    ,2,"Equatorial Guinea"
72,冈比亚                      ,2,"Gambia"
74,加纳                       ,2,"Ghana"
76,希腊                       ,5,"Greece"
78,英国                       ,5,"United Kingdom"
79,格林纳达                     ,3,"Grenada"
81,关岛                       ,6,"Guam"
82,危地马拉                     ,3,"Guatemala"
83,几内亚                      ,2,"Guinea"
85,圭亚那                      ,4,"Guyana"
86,克罗地亚                     ,5,"Croatia"
87,海地                       ,3,"Haiti"
88,洪都拉斯                     ,3,"Honduras"
89,中国香港                     ,1,"Hong Kong"
90,匈牙利                      ,5,"Hungary"
91,冰岛                       ,5,"Iceland"
92,印度                       ,1,"India"
93,印度尼西亚                    ,1,"Indonesia"
94,伊朗                       ,1,"Iran"
95,伊拉克                      ,1,"Iraq"
97,爱尔兰                      ,5,"Ireland"
98,以色列                      ,1,"Israel"
99,意大利                      ,5,"Italy"
100,牙买加                      ,3,"Jamaica"
101,日本                       ,1,"Japan"
102,约旦                       ,1,"Jordan"
103,哈萨克斯坦                    ,1,"Kazakstan"
104,肯尼亚                      ,2,"Kenya"
106,朝鲜                       ,1,"North Korea"
107,韩国                       ,1,"Korea"
108,柬埔寨                      ,1,"Cambodia"
110,科威特                      ,1,"kuwait"
113,老挝                       ,1,"Laos"
115,拉托维亚                     ,5,"Latvia"
116,黎巴嫩                      ,1,"Lebanon"
119,利比亚                      ,2,"Libya"
121,立陶宛                      ,5,"Lithuania"
122,卢森堡                      ,1,"Luxembourg"
124,中国澳门                     ,1,"Macao"
125,马达加斯加                    ,2,"Malagasy"
126,马拉维                      ,2,"Malawi"
127,马来西亚                     ,1,"Malaysia"
128,马尔代夫                     ,1,"Maldives"
130,马尔他（马耳他）                 ,5,"Malta"
133,毛里塔尼亚                    ,2,"Mauritania"
134,毛里求斯                     ,2,"Mauritius"
135,墨西哥                      ,3,"Mexico"
136,摩尔多瓦                     ,5,"Moldova Republic of"
137,摩纳哥                      ,5,"Monaco"
138,蒙古                       ,1,"Mongolia"
140,摩洛哥                      ,2,"Morocco"
141,莫桑比克                     ,2,"Mozambique"
144,纳米比亚                     ,2,"Namibia"
146,尼泊尔                      ,1,"Nepal"
147,荷兰                       ,5,"Netherlands"
150,新西兰                      ,6,"New Zealand"
151,尼加拉瓜                     ,3,"Nicaragua"
153,尼日利亚                     ,2,"Nigeria"
156,挪威                       ,5,"Norway"
157,阿曼                       ,1,"Oman"
158,巴基斯坦                     ,1,"Pakistan"
161,巴拿马                      ,3,"Panama"
162,巴布亚新几内亚                  ,6,"Papua Territory of"
163,巴拉圭                      ,4,"Paraguay"
164,秘鲁                       ,4,"Peru"
165,菲律宾                      ,1,"Philippines"
