178,上海江宏路基材料有限公司             ,宝山区联谊路666号,203,13715344875,0,null
281,上海海钛软件科技有限公司             ,青浦区青安路887号54室,94,13725560570,,
645,上海梅格光学科技有限公司             ,青云路555号2幢415室,38,13809880158,,
969,上海巧丽美体馆                  ,宝山区蕴川路5475号,201,13266509216,,
1229,上海狼海创业投资有限公司             ,浦东大道555号2902室,163,13641402000,,
2732,深圳市鑫龙源电子有限公司             ,广东 深圳市 宝安区,83,13925206892,,
3549,新辉电子行                    ,广东 深圳市 宝安区西乡,62,13603059132,,
3628,大海塑胶有限公司                 ,广东 深圳市 宝安区西乡铁岗,24,13316829294,,
4489,光明耗材公司                   ,广东 深圳市 福田区．福华新村,212,13790306477,,
5243,神州通信有限公司深圳分公司            ,广东 深圳市 福田区振中路雍怡阁二楼,191,13713927678,,
5375,深圳陆德电子科技有限公司             ,广东 深圳市 福永镇福桥第一工业区吉安泰工业园5栋,85,13760490159,,
5918,利满达制衣有限公司                ,广东 深圳市 广东省深圳市福永镇龙王庙,88,13826548654,,
5948,深圳市红泰移印器材有限公司            ,广东 深圳市 广东省深圳市龙岗区同乐其面村18区。,201,13316925958,,
6479,深圳在此实业有限公司               ,广东 深圳市 咯吱,176,13798409546,,
6633,基远贸易公司                   ,广东 深圳市 龙岗区,211,13543250061,,
7009,深圳市美华废料回收公司              ,广东 深圳市 龙岗区平湖镇,134,13360078722,,
7667,深圳万心科技有限公司               ,广东 深圳市 罗湖,196,13760156785,,
7929,深圳春晖航空售票处                ,广东 深圳市 罗湖区红宝路南村,227,13570829266,,
8117,深鹏汽车救援服务公司               ,广东 深圳市 罗湖区水贝二路,217,1.39E+10,,
8235,陈卓人(个体经营)                ,广东 深圳市 罗湖旺业豪苑,12,13714532272,,
8382,深圳市慧嘉科技有限公司              ,广东 深圳市 南山区,126,13927430199,,
8468,易速达进出口有限公司。              ,广东 深圳市 南山区海雅阁,4,13510719658,,
9033,格力贸易有限公司－库存贸易            ,广东 深圳市 沙井,196,13923724990,,
10576,隆兴睿智五金厂                  ,广东 深圳市 深圳坑梓,216,13751039001,,
10968,璇锐日用化工公司                 ,广东 深圳市 深圳罗湖,203,13823510382,,
11066,雯琪(个体经营)                 ,广东 深圳市 深圳罗湖商业城,40,13714712294,,
11082,深圳威斯特光电有限公司              ,广东 深圳市 深圳梅林,51,13824368871,,
11281,中天纬柏制衣有限公司               ,广东 深圳市 深圳区,187,13560756905,,
11656,江西省宜春市利群石材有限公司           ,广东 深圳市 深圳市宝安47区富民苑A座604,90,13538071016,,
14265,深圳协诚通公司                  ,广东 深圳市 深圳市福田区新洲大厦2108,110,13713858263,,
14414,宝威精密实业有限公司               ,广东 深圳市 深圳市福永,72,13826494441,,
14445,深圳市永伟刃具厂                 ,广东 深圳市 深圳市福永镇凤凰大道西区,74,13244875823,,
14572,诚意彩色印刷有限公司               ,广东 深圳市 深圳市观兰镇,95,13612970500,,
14635,深圳市高风农副产品经营部             ,广东 深圳市 深圳市桂园路,83,13267148665,,
14871,石慧珠宝行                    ,广东 深圳市 深圳市黄贝岭商城,104,13543332994,,
14879,苏德凯（个体经营）                ,广东 深圳市 深圳市建设路,195,13724342167,,
16331,杰羚公司                     ,广东 深圳市 深圳市罗湖区文锦广场,88,13590203554,,
17784,荣正模具钢材(深圳)有限公司           ,广东 深圳市 松岗,25,13713915612,,
17988,深圳市鑫达食品行                 ,广东 深圳市 西乡,82,13632959030,,
18061,华美业礼品装饰商行                ,广东 深圳市 香蜜湖,100,13590491287,,
19358,ShenzhenLeidiScience,中国 广东 深圳市 福田区新洲南路金享楼1栋3层,198,13823112660,,
19866,深圳市宇维佳科技有限公司             ,中国 广东 深圳市 龙岗区龙河工业区,226,13723732813,,
20358,深圳市宝安区伟裕达塑料制品厂           ,中国 广东 深圳市 全国,226,64976239,,
21163,桂林永福强强木器厂                ,中国 广东 深圳市 深圳市布吉镇吉星花园4栋101,99,13917395311,,
21220,深圳市博天微电子有限公司             ,中国 广东 深圳市 深圳市福田区车公庙劲松大厦10G,140,62274584,,
21336,深圳市中港通进出口有限公司            ,中国 广东 深圳市 深圳市福田区田面村49栋一楼,47,641225134,,
21749,深圳市长升利实业有限公司             ,中国 广东 深圳市 深圳市罗湖区红桂路松园南2巷3号,140,66630576,,
23014,清泉钢铁集团                   ,中国.河北省.唐山市.唐山市,196,86-315-8568888 ,,
23211,河北金麦集团                   ,县城内,100,86-318-6360121 ,,
24001,廊坊益农集团公司                 ,中国 河北 霸州市 霸州市太平桥东100米,83,86-0316-7221963,,
24262,河北省永年县标准件集团有限公司          ,中国 河北 永年县 永年,44,86-0310-6993456,,
25104,安徽省祝融生物质能有限公司            ,安徽太湖县长河路100号,126,0556 4185633   ,,
25508,鞍山佳诚空压机有限公司              ,辽宁鞍山千山区宁远镇北地号,4,0412-8224511   ,,
25848,吉林元豪实业集团公司               ,吉林市吉桦路188号,15,0432-7654321   ,,
26320,沈阳嘉帝清洁设备有限公司             ,辽宁沈阳市洗地机,40,024-24518590   ,,
27966,南京安格药物研究有限公司             ,江苏南京市江东路,187,025-86215454   ,,
28364,南京福丰种业有限公司               ,南京市江苏省农科院,98,025-84448838   ,,
28760,苏州工业园区同步达科技有限公司          ,江苏苏州市苏州工业园区,178,0512-62996606  ,,
30142,秦皇岛赛康光电电子有限公司            ,河北 秦皇岛市 秦皇岛开发区钟山路-1号,190,0335-8040870   ,,
721,上海亮流植绒厂                  ,嘉定区澄浏公路807号5幢,57,13715370809,,
1082,上海桐瑞体育健身发展有限公司           ,康健路58弄23号一层,108,13824358379,,
1822,上海俊平贸易有限公司               ,上海市金山区海丰路65号1014室,107,13924620303,,
1896,上海飞贺实业有限公司               ,曲沃路357号裙房,83,13715334576,,
2365,强森科技有限公司                 ,广东 深圳市 宝安.西乡.径贝新衬,168,13798408328,,
3142,超利电子有限公司                 ,广东 深圳市 宝安区龙华,38,13824342785,,
3189,深圳市本一镜片实业公司              ,广东 深圳市 宝安区龙华镇,135,13510650617,,
3260,深圳市宝安区新奇特三维产品推广公司        ,广东 深圳市 宝安区龙华镇油松小学侧,163,13928432569,,
3393,宏鑫刀模材料公司                 ,广东 深圳市 宝安区石岩,146,13798466943,,
3550,国雄皮具厂01                  ,广东 深圳市 宝安区西乡,167,13827429581,,
3769,振展五金厂                    ,广东 深圳市 宝安沙井万丰,66,13265559755,,
3846,恒益达铭牌有限公司                ,广东 深圳市 宝安西乡固戍西荣工业区,16,13928479582,,
4008,惠和轩画廊                    ,广东 深圳市 布吉大芬,135,13530734705,,
4164,锦星丝带制品厂                  ,广东 深圳市 布吉镇吉华路410号,44,13510987191,,
4310,深圳市中天欣贸易有限公司             ,广东 深圳市 翻身,21,13714138119,,
4422,安邦有限公司                   ,广东 深圳市 福田区,172,13600437008,,
4474,花衣赏精品外贸服装有限公司            ,广东 深圳市 福田区,151,13510442469,,
6082,逢昌丝印蚀刻厂                  ,广东 深圳市 横岗188工业区,122,13632588916,,
6246,华光电子厂 销售部                ,广东 深圳市 华强北国际电子城,108,13724377120,,
6401,深圳懿骏电子厂                  ,广东 深圳市 吉华路68号,116,13265716561,,
6866,金多利电子有限公司                ,广东 深圳市 龙岗区横岗镇荷坳联泰路2号,101,13714384366,,
