4994,49299,15068,1,50,0,0.9078872,0,n,n,0/0/0,0/0/0,0/0/0,null,null,null
4994,42238,9685,2,1,0,0.09184609,,,,,,,,,
4995,56989,28128,1,12,0,0.9850194,,,,,,,,,
4998,4577,22419,1,89,0,0.5518992,,,,,,,,,
4998,12450,18615,2,97,0,0.3472106,,,,,,,,,
4999,54838,1193,1,72,0,0.2642794,,,,,,,,,
5001,33176,29135,1,92,0,0.4378895,,,,,,,,,
5002,27850,18431,1,34,0,0.7149813,,,,,,,,,
5002,28736,20559,2,14,0,0.2825579,,,,,,,,,
5004,12637,18435,1,19,0,0.9248255,,,,,,,,,
5004,13114,19944,2,7,0,0.8317745,,,,,,,,,
5005,39799,30208,2,65,0,0.3540119,,,,,,,,,
5006,20887,4343,1,7,0,0.9592504,,,,,,,,,
5006,4495,17980,2,5,0,0.6239228,,,,,,,,,
5008,61573,28096,1,57,0,0.2618355,,,,,,,,,
5008,31893,23722,2,93,0,0.1952466,,,,,,,,,
5009,26243,29632,1,45,0,0.07965297,,,,,,,,,
5010,33630,30846,1,54,0,0.9780807,,,,,,,,,
5010,36579,15148,2,60,0,0.066433,,,,,,,,,
5013,18221,20716,1,65,0,0.577783,,,,,,,,,
5013,46006,30582,2,54,0,0.9586002,,,,,,,,,
5014,41243,18700,1,24,0,0.9777182,,,,,,,,,
5016,16233,12045,1,29,0,0.6239619,,,,,,,,,
5016,59223,2532,2,48,0,0.8997234,,,,,,,,,
5017,56132,12137,1,64,0,0.6640822,,,,,,,,,
5017,1563,22191,2,16,0,0.03125708,,,,,,,,,
5018,46854,13539,1,88,0,0.07335246,,,,,,,,,
5021,19207,8562,1,63,0,0.07476979,,,,,,,,,
5021,50640,21443,2,54,0,0.2246836,,,,,,,,,
5023,57785,3554,1,88,0,0.5411023,,,,,,,,,
5024,60853,2091,1,85,0,0.8938283,,,,,,,,,
5025,24271,21938,1,25,0,0.5353974,,,,,,,,,
5025,1369,9119,2,79,0,0.4624913,,,,,,,,,
5026,11672,30443,1,56,0,0.4372988,,,,,,,,,
5026,53644,2220,2,23,0,0.2440502,,,,,,,,,
5027,58959,2223,1,15,0,0.4250922,,,,,,,,,
5029,4861,16309,1,22,0,0.3666108,,,,,,,,,
5030,10164,5113,1,61,0,0.6287409,,,,,,,,,
5030,1367,27979,2,86,0,0.9882813,,,,,,,,,
5032,11951,3448,1,19,0,0.7782522,,,,,,,,,
5033,37832,13630,1,51,0,0.8624968,,,,,,,,,
5034,56840,16725,1,97,0,0.4628877,,,,,,,,,
5034,20794,11061,2,40,0,0.7338402,,,,,,,,,
5035,43887,26978,1,47,0,0.4205218,,,,,,,,,
5037,7672,13684,1,98,0,0.9653773,,,,,,,,,
5038,20793,662,1,38,0,0.2170006,,,,,,,,,
5040,64676,14536,1,46,0,0.1246276,,,,,,,,,
5040,13208,24419,2,28,0,0.5113463,,,,,,,,,
5041,8731,29015,1,29,0,0.556053,,,,,,,,,
5041,14933,19109,2,20,0,0.4335084,,,,,,,,,
5042,10106,27272,1,66,0,0.343199,,,,,,,,,
5042,26100,9650,2,31,0,0.9065959,,,,,,,,,
5044,54380,30738,1,50,0,0.7006885,,,,,,,,,
5046,2928,22729,1,95,0,0.3609537,,,,,,,,,
5046,11611,809,2,19,0,0.4674942,,,,,,,,,
5047,8793,13851,1,75,0,0.58854,,,,,,,,,
5047,32874,1064,2,39,0,0.3688104,,,,,,,,,
5048,60249,22221,1,28,0,0.6264555,,,,,,,,,
5051,19731,14860,1,91,0,0.06878195,,,,,,,,,
5052,53341,3663,1,16,0,0.5346583,,,,,,,,,
5052,23481,6220,2,68,0,0.3792604,,,,,,,,,
5053,41550,29286,1,80,0,0.1417174,,,,,,,,,
5058,8312,5745,1,2,0,0.1326682,,,,,,,,,
5058,54196,11032,2,23,0,0.4654319,,,,,,,,,
5060,2973,14943,1,24,0,0.5546969,,,,,,,,,
5060,42161,22130,2,39,0,0.3924136,,,,,,,,,
5063,32624,28295,1,20,0,0.7165467,,,,,,,,,
5063,733,25301,2,61,0,0.4161271,,,,,,,,,
5064,32069,3300,1,47,0,0.7102415,,,,,,,,,
5065,58909,21590,1,71,0,0.8852872,,,,,,,,,
5065,810,10019,2,85,0,0.8356237,,,,,,,,,
5068,58561,14832,1,99,0,0.238622,,,,,,,,,
5068,27787,307,2,13,0,0.8702521,,,,,,,,,
5069,957,4096,1,40,0,0.1867719,,,,,,,,,
5070,4833,13257,1,78,0,0.4665309,,,,,,,,,
