14769,27480,795,7094.654,null
32814,29324,494,1906.827,
7531,10911,37,2894.085,
25136,5376,480,6416.264,
59022,7615,465,7659.491,
41120,6540,392,2692.745,
26537,20538,629,9118.938,
58976,5452,993,5319.55,
65675,19283,703,4284.198,
32995,12675,16,3040.149,
32920,19090,35,222.6208,
64421,19084,982,6856.453,
8005,23096,993,2986.782,
18869,24408,281,1465.053,
25142,4004,2,562.812,
13653,27971,224,6776.126,
61677,18281,42,5356.508,
37136,16910,642,7949.16,
33796,15374,402,7957.037,
48274,8999,165,5631.595,
25443,7930,365,6701.229,
12281,2077,706,2900.929,
26378,2639,654,6907.204,
21123,23091,836,1787.776,
30717,15371,859,9554.204,
56528,22706,662,196.8618,
29239,11378,806,1656.295,
11374,20948,544,9544.837,
30344,15941,781,9610.731,
4576,5279,506,4498.287,
65140,11153,818,2397.519,
56892,28024,434,8822.244,
14264,17948,781,3664.908,
3691,23585,280,5538.977,
21885,17455,826,456.2424,
31105,4751,271,5348.774,
53465,1471,910,1616.809,
25805,6478,797,4578.898,
63267,14402,433,765.0135,
4025,13240,39,2803.834,
110,11433,757,7120.433,
57969,1392,575,719.4171,
30961,21382,298,2451.99,
41952,17761,208,855.3749,
56330,20341,131,3942.691,
24506,26195,959,7275.262,
62594,27276,566,863.0807,
48320,11785,760,5539.737,
61875,12148,936,7603.775,
10380,861,639,898.5671,
43976,11672,928,6838.116,
50644,16305,326,928.7153,
31474,26495,164,4369.215,
37159,1405,58,8650.298,
46839,24371,334,1561.358,
19802,22170,35,3529.177,
55963,26012,162,2163.92,
26826,24460,410,714.3828,
18804,15454,654,7806.671,
22029,9747,912,3360.531,
54265,7901,570,478.5446,
61898,1525,216,8949.85,
18474,8039,827,897.6442,
53706,26245,937,8155.368,
61285,5446,611,8838.464,
60887,26606,700,3976.298,
2250,26032,259,5203.007,
29644,19512,97,9628.579,
22681,28390,631,5905.691,
32218,16342,422,5987.998,
12582,28344,543,4487.625,
63144,28879,44,3260.277,
45234,22257,46,3784.042,
25809,7233,914,6991.948,
35358,6458,744,6939.406,
11819,28899,197,5537.81,
7769,19538,118,4597.854,
22390,29559,276,4665.189,
46556,1229,821,8192.417,
20315,26306,382,5102.208,
8808,4530,208,8914.581,
451,18574,954,526.6994,
43241,586,948,8166.533,
56158,16497,376,6744.354,
28503,5659,426,8081.572,
25452,5304,185,7619.173,
51630,28896,778,43.92239,
65073,27347,926,9696.198,
17326,30640,832,5047.347,
7765,23261,821,5396,
39132,9610,932,2202.693,
25839,11793,119,4162.327,
41709,16832,597,737.6835,
28850,5368,499,2008.76,
52735,10463,253,6427.994,
14000,3415,173,2537.214,
50834,1314,794,5556.822,
25044,6561,406,6690.538,
49234,7067,604,8220.905,
43914,17031,24,4253.433,
15597,862,715,8084.107,
58143,2309,78,7430.381,
3229,14493,250,7525.413,
6666,15361,280,5706.18,
3967,23609,886,5536.381,
28132,2382,976,1634.206,
22191,29690,107,693.7886,
55766,13410,414,9199.396,
20725,12483,185,3066.426,
56987,9118,813,9967.467,
65049,3930,393,7010.685,
60933,21034,270,7358.803,
32891,18117,721,1467.791,
3762,983,841,6074.896,
52620,3305,463,5596.258,
51822,19676,258,1957.189,
8824,29424,389,5356.292,
63881,29105,583,7372.639,
20070,949,874,1008.638,
12918,14622,800,8597.216,
62704,7158,262,6398.517,
